EAN,SKU,Reference,Style,color,UK Size,article_number,outer_material,brand,EU Size,comodity,MRP,PPCN
8909443020410,DISNEY6401PINKKBRV-31,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Baby Pink,12C,DSNEY6401PINKKBRV,EVA,Miss & Chief,31,Clogs,1699,24
8909443027471,GLC901BLK-WHTKBRV-6,GLITCHEZ SLIDES UV,GLC901KBRV,Black-White,6,GLC901BLK-WHTKBRV,EVA,Glitchez,40,Slides,1499,24
8909443027488,GLC901BLK-WHTKBRV-7,GLITCHEZ SLIDES UV,GLC901KBRV,Black-White,7,GLC901BLK-WHTKBRV,EVA,Glitchez,41,Slides,1499,24
8909443027495,GLC901BLK-WHTKBRV-8,GLITCHEZ SLIDES UV,GLC901KBRV,Black-White,8,GLC901BLK-WHTKBRV,EVA,Glitchez,42,Slides,1499,24
8909443027501,GLC901BLK-WHTKBRV-9,GLITCHEZ SLIDES UV,GLC901KBRV,Black-White,9,GLC901BLK-WHTKBRV,EVA,Glitchez,43,Slides,1499,24
8909443027518,GLC901BLK-WHTKBRV-10,GLITCHEZ SLIDES UV,GLC901KBRV,Black-White,10,GLC901BLK-WHTKBRV,EVA,Glitchez,44,Slides,1499,24
8909443027525,GLC901BLK-WHTKBRV-11,GLITCHEZ SLIDES UV,GLC901KBRV,Black-White,11,GLC901BLK-WHTKBRV,EVA,Glitchez,45,Slides,1499,24
8909443027532,GLC901GRN-GRYKBRV-6,GLITCHEZ SLIDES UV,GLC901KBRV,Green-Grey,6,GLC901GRN-GRYKBRV,EVA,Glitchez,40,Slides,1499,24
8909443027549,GLC901GRN-GRYKBRV-7,GLITCHEZ SLIDES UV,GLC901KBRV,Green-Grey,7,GLC901GRN-GRYKBRV,EVA,Glitchez,41,Slides,1499,24
8909443027556,GLC901GRN-GRYKBRV-8,GLITCHEZ SLIDES UV,GLC901KBRV,Green-Grey,8,GLC901GRN-GRYKBRV,EVA,Glitchez,42,Slides,1499,24
8909443027563,GLC901GRN-GRYKBRV-9,GLITCHEZ SLIDES UV,GLC901KBRV,Green-Grey,9,GLC901GRN-GRYKBRV,EVA,Glitchez,43,Slides,1499,24
8909443027570,GLC901GRN-GRYKBRV-10,GLITCHEZ SLIDES UV,GLC901KBRV,Green-Grey,10,GLC901GRN-GRYKBRV,EVA,Glitchez,44,Slides,1499,24
8909443027587,GLC901GRN-GRYKBRV-11,GLITCHEZ SLIDES UV,GLC901KBRV,Green-Grey,11,GLC901GRN-GRYKBRV,EVA,Glitchez,45,Slides,1499,24
8909443027419,GLC901WHT-BLUKBRV-6,GLITCHEZ SLIDES UV,GLC901KBRV,White-Blue,6,GLC901WHT-BLUKBRV,EVA,Glitchez,40,Slides,1499,24
8909443027426,GLC901WHT-BLUKBRV-7,GLITCHEZ SLIDES UV,GLC901KBRV,White-Blue,7,GLC901WHT-BLUKBRV,EVA,Glitchez,41,Slides,1499,24
8909443027433,GLC901WHT-BLUKBRV-8,GLITCHEZ SLIDES UV,GLC901KBRV,White-Blue,8,GLC901WHT-BLUKBRV,EVA,Glitchez,42,Slides,1499,24
8909443027440,GLC901WHT-BLUKBRV-9,GLITCHEZ SLIDES UV,GLC901KBRV,White-Blue,9,GLC901WHT-BLUKBRV,EVA,Glitchez,43,Slides,1499,24
8909443027457,GLC901WHT-BLUKBRV-10,GLITCHEZ SLIDES UV,GLC901KBRV,White-Blue,10,GLC901WHT-BLUKBRV,EVA,Glitchez,44,Slides,1499,24
8909443027464,GLC901WHT-BLUKBRV-11,GLITCHEZ SLIDES UV,GLC901KBRV,White-Blue,11,GLC901WHT-BLUKBRV,EVA,Glitchez,45,Slides,1499,24
8909443027716,GLC902BLKKBRV-6,GLITCHEZ SLIDES UV,GLC902KBRV,Black,6,GLC902BLKKBRV,EVA,Glitchez,40,Slides,1499,24
8909443027723,GLC902BLKKBRV-7,GLITCHEZ SLIDES UV,GLC902KBRV,Black,7,GLC902BLKKBRV,EVA,Glitchez,41,Slides,1499,24
8909443027730,GLC902BLKKBRV-8,GLITCHEZ SLIDES UV,GLC902KBRV,Black,8,GLC902BLKKBRV,EVA,Glitchez,42,Slides,1499,24
8909443027747,GLC902BLKKBRV-9,GLITCHEZ SLIDES UV,GLC902KBRV,Black,9,GLC902BLKKBRV,EVA,Glitchez,43,Slides,1499,24
8909443027754,GLC902BLKKBRV-10,GLITCHEZ SLIDES UV,GLC902KBRV,Black,10,GLC902BLKKBRV,EVA,Glitchez,44,Slides,1499,24
8909443027761,GLC902BLKKBRV-11,GLITCHEZ SLIDES UV,GLC902KBRV,Black,11,GLC902BLKKBRV,EVA,Glitchez,45,Slides,1499,24
8909443027655,GLC902BRNKBRV-6,GLITCHEZ SLIDES UV,GLC902KBRV,Brown,6,GLC902BRNKBRV,EVA,Glitchez,40,Slides,1499,24
8909443027662,GLC902BRNKBRV-7,GLITCHEZ SLIDES UV,GLC902KBRV,Brown,7,GLC902BRNKBRV,EVA,Glitchez,41,Slides,1499,24
8909443027679,GLC902BRNKBRV-8,GLITCHEZ SLIDES UV,GLC902KBRV,Brown,8,GLC902BRNKBRV,EVA,Glitchez,42,Slides,1499,24
8909443027686,GLC902BRNKBRV-9,GLITCHEZ SLIDES UV,GLC902KBRV,Brown,9,GLC902BRNKBRV,EVA,Glitchez,43,Slides,1499,24
8909443027693,GLC902BRNKBRV-10,GLITCHEZ SLIDES UV,GLC902KBRV,Brown,10,GLC902BRNKBRV,EVA,Glitchez,44,Slides,1499,24
8909443027709,GLC902BRNKBRV-11,GLITCHEZ SLIDES UV,GLC902KBRV,Brown,11,GLC902BRNKBRV,EVA,Glitchez,45,Slides,1499,24
